Order to Trade Ratio,Hit Ratio,Cancel to Trade Ratio,Commitment %,Zero-crossing %,Average Trade Size,Outstanding Volume,Trade Asymmetry,Aggression Asymmetry,Volume Asymmetry,Flat position despite of insignificant activity,Number of clients,Aggression,Speed of execution of trades,Net Profit,Score,Anomaly_Label
1050.988,129.7173,147.5434,63.9077,389.2171,43456.9452,4634,0.7029,0.6969,4.988,0,21886,0.4461,338.6781,81276.6521,-0.019715121,-1
2368.1967,552.2179,171.8374,94.4475,106.3893,32075.8949,7264,3.3523,0.7145,97.5399,1,5632,0.2498,3777.5046,138313.8057,-0.011622428,-1
4041.0585,3757.1308,265.0022,9.809,189.5094,5669.1254,2511,1.7425,0.2321,92.4291,0,27669,0.0415,2739.5026,129027.4892,-0.061082869,-1
843.7121,1266.4471,38.3985,17.6298,379.8776,40284.9352,9938,4.4345,0.1023,80.3386,0,12847,0.863,460.728,145732.5121,-0.048424465,-1
4163.7217,2927.1567,186.7233,94.2456,32.1942,52263.2437,1072,3.097,0.5686,68.0842,1,13944,0.503,8121.5661,140323.5841,-0.050726551,-1
1269.7438,1281.0492,233.5418,55.0703,4.7794,40480.1169,7516,4.1121,0.2237,52.6699,1,16858,0.046,3724.7789,164080.4554,-0.016032692,-1
3031.8251,1532.476,251.376,32.9896,66.6924,41990.0123,1721,2.542,0.1652,39.6834,0,30027,0.1388,2468.8224,104600.5493,-0.006539557,-1
2945.3546,821.5658,72.0887,58.5122,170.2436,21149.557,3747,3.7955,0.6531,64.5812,0,1328,0.5087,3904.9329,11311.9486,0.008622747,1
1164.2271,1245.9739,129.6118,92.2909,225.2869,58624.2582,3905,1.15,0.5567,38.6943,0,14492,0.531,3488.7596,75931.8233,0.009738838,1
3363.8548,1892.9519,291.0955,64.7043,176.8118,43122.6984,4457,2.7208,0.7972,18.9844,0,6163,0.0468,4984.5205,116012.9873,-0.006381262,-1
2500.4143,1467.0411,135.4282,89.1952,137.4796,42501.7,6949,1.3748,0.152,81.4144,0,23046,0.8616,6098.2704,129800.2296,0.011063904922705148,1
895.6625,3161.5244,257.8586,64.1775,35.7146,52750.749,9609,2.6908,0.8672,39.5238,1,7917,0.1567,1043.8245,163679.5219,-0.052956897,-1
1198.8256,976.6977,34.3572,43.4598,245.7433,47269.0852,4027,3.5185,0.0108,89.6754,0,9507,0.2392,4943.2775,84606.8633,-0.005853425,-1
922.7874,4116.1884,215.8441,6.8022,180.232,52816.0435,8878,4.6202,0.9605,17.6529,0,30585,0.8488,3285.2022,9143.1822,-0.076969326,-1
3570.6995,60.4926,267.5821,2.4804,172.7465,14073.5375,6104,0.6837,0.0311,0.3848,0,19121,0.2206,8606.9431,25810.5999,-0.047090841,-1
1941.544,2558.3482,170.4368,95.7903,101.6058,40570.1279,4478,4.2886,0.042,76.4277,0,33187,0.333,8944.5075,137407.7233,-0.043764089,-1
2474.8832,3900.7007,27.6663,23.5607,383.1119,5320.4654,7670,3.2025,0.4505,25.2301,0,22672,0.5567,3522.1883,123779.2097,-0.024481527,-1
1358.7898,3634.2646,288.0103,42.431,232.1936,13225.5306,6647,3.3521,0.9312,56.3117,0,26266,0.4782,3492.6209,124583.3198,-5.97E-05,-1
3679.396,1695.0895,284.0245,60.7419,354.0201,14590.8893,1802,1.0698,0.3143,5.2742,0,31632,0.4934,2162.3916,51752.7138,-0.034909955,-1
4015.5952,3185.0127,115.5119,27.4967,10.6129,44081.1054,9991,2.0943,0.5683,43.7117,0,5347,0.2901,3686.262,151315.7379,-0.024999244,-1
1383.6124,1139.6519,116.4191,50.4606,104.3599,50054.154,3025,4.0822,0.3744,66.4769,1,40069,0.5125,6419.4612,119887.3792,0.007884507,1
2578.571,1359.0353,67.574,60.8652,344.8114,48268.8608,8196,1.0294,0.6399,95.891,1,11975,0.1314,7617.5795,50915.2953,-0.042909164,-1
3609.862,557.5961,87.2067,48.3707,254.6457,14095.6384,4680,4.5165,0.6484,73.1621,0,23622,0.8331,4225.4561,73061.4554,0.011339310382248946,1
507.7438,2870.0311,193.4898,99.4037,98.0477,13874.4829,2454,1.3002,0.4113,60.1848,1,26473,0.1382,6174.5748,16213.5929,-0.007887065,-1
2299.0701,3590.5142,68.8497,74.8547,112.9148,10382.7421,2443,2.8308,0.0942,20.79,0,22061,0.446,8290.2154,94784.6459,-0.021670242,-1
1404.7555,3838.2502,160.1606,5.2936,117.0913,40890.0659,8379,4.6771,0.712,15.4333,0,13906,0.9179,4576.7175,87956.861,-0.012806142,-1
3599.6239,1096.5966,234.0411,57.1441,19.8177,12790.8032,9844,1.2331,0.1177,73.3952,1,19610,0.7736,1646.4365,86261.1738,-0.003962397,-1
894.9444,2839.5833,127.3088,23.0026,121.2089,58046.0823,1517,0.3614,0.5963,78.9954,0,25662,0.6691,1330.4449,56394.9671,-0.025509301,-1
2754.7952,1225.0498,103.3305,44.514,386.3213,16533.456,3850,1.4722,0.9209,43.1489,0,31889,0.9958,374.1728,3591.391,-0.03255384,-1
4119.717,2580.9036,172.1286,93.1615,113.6519,40095.7579,5363,3.3618,0.6153,47.9845,1,35461,0.2723,2028.3094,137845.0078,-0.011204277,-1
2982.487,2766.7767,167.712,85.2601,260.9202,21753.1794,5128,0.2604,0.8383,58.917,0,34117,0.7379,3141.5132,104659.9463,0.016783560653261587,1
2134.3818,2587.8363,223.6265,78.4842,152.0908,14560.9597,8297,4.5104,0.3208,60.8731,1,27866,0.0692,3043.1074,78497.7726,-0.008350705,-1
